place,number,rate,park,nightlife,children,nature,sports,historic,art_science,aquatic,shows,adventure
stamford-ct,2756,4.41,75.32,9.37,105.39,63.69,88.13,297.83,184.02,37.85,30.66,24.57
sterling-heights-mi,3872,4.45,65.15,67.49,83.65,75.9,128.73,226.09,201.54,3.58,238.79,40.07
stratford-ct,1587,4.15,58.85,22.87,96.28,88.75,66.63,117.94,86.74,55.0,14.34,24.57
suffolk-va,953,4.27,35.61,0.0,92.17,59.27,22.04,145.1,68.84,32.85,8.16,13.49
sugar-land-tx,1565,4.34,71.35,12.49,111.48,75.16,19.31,148.95,192.09,13.31,68.51,53.47
sunrise-fl,1417,4.1,69.19,43.94,84.11,85.65,27.56,119.0,140.72,52.01,33.19,24.82
sunrise-manor-nv,14631,4.2,17.65,133.01,86.53,122.55,46.51,141.06,171.61,15.51,43.63,95.44
surprise-az,2007,4.3,16.75,25.37,56.67,53.18,99.64,170.17,154.88,4.17,188.58,16.1
syracuse-ny,505,4.09,46.54,9.28,34.02,91.62,56.86,61.07,32.49,31.4,22.33,8.69
tacoma-wa,2047,4.24,58.11,54.6,50.8,106.18,48.45,162.56,140.76,15.07,82.62,18.41
tallahassee-fl,365,3.94,15.04,0.0,49.29,62.84,15.83,86.73,32.24,11.38,0.0,7.13
tamarac-fl,1366,4.08,69.19,34.3,90.11,75.57,25.56,105.04,114.3,48.33,32.19,22.82
tamiami-fl,1462,4.12,87.34,37.02,123.88,102.14,38.82,139.77,143.43,69.72,35.19,30.99
taunton-ma,1729,4.07,64.0,10.77,52.69,117.45,60.66,219.11,130.88,39.35,96.68,29.37
taylor-mi,3820,4.46,80.26,62.28,98.16,97.16,138.46,198.87,234.97,12.99,207.66,43.07
taylorsville-ut,1062,4.17,55.75,1.0,47.75,84.04,71.37,97.57,95.9,14.17,28.14,16.91
temecula-ca,1391,4.24,65.61,5.32,42.9,72.27,53.03,98.25,73.18,47.74,99.32,28.83
tempe-az,2560,4.31,21.34,27.69,79.85,56.6,118.82,205.24,189.6,5.46,164.07,33.83
temple-tx,514,4.2,41.44,0.0,42.51,110.12,31.12,81.42,32.86,2.0,6.34,24.98
terre-haute-in,157,4.01,13.76,4.81,13.55,36.59,16.3,43.49,34.97,6.86,14.47,8.52
the-hammocks-fl,1325,4.12,78.32,40.72,103.27,91.35,36.23,127.86,115.01,62.4,33.19,30.99
thornton-co,2580,4.38,24.98,37.03,66.78,94.72,67.91,147.22,158.37,14.97,106.18,26.18
thousand-oaks-ca,3162,4.47,87.24,47.72,86.76,96.92,50.6,215.44,188.85,64.36,126.15,57.86
tinley-park-il,6969,4.54,86.6,97.91,113.37,107.14,147.23,286.82,343.42,41.08,301.09,19.12
toledo-oh,1044,4.35,53.26,6.75,35.53,58.12,71.37,54.05,68.24,3.58,26.31,7.0
toms-river-nj,1730,4.35,100.28,16.47,121.3,88.77,39.36,122.36,37.86,37.5,34.22,32.37
tonawanda-ny,1339,4.25,41.58,7.17,90.03,75.84,70.73,108.67,72.46,13.23,51.08,28.04
topeka-ks,592,4.2,30.25,10.0,46.06,44.05,24.74,96.25,41.88,3.17,31.62,11.27
